G3;address;reason;Mjob;higher;Fjob;goout;paid;Fedu;studytime;internet;romantic;failures;age
13;0;0;3;1;4;2;0;2;1;1;0;1;16
19;0;2;0;1;4;2;0;2;1;1;0;0;15
9;1;1;1;1;2;2;0;1;1;1;1;0;15
16;0;2;0;1;0;4;0;4;1;1;0;0;16
14;0;1;4;1;0;3;0;4;1;0;0;0;15
13;0;0;4;1;2;2;0;3;1;1;0;0;16
8;1;2;4;1;4;4;0;3;1;1;0;1;17
13;0;1;4;1;4;3;0;4;1;1;0;0;15
15;0;2;3;1;2;3;0;2;1;1;0;0;15
15;0;0;2;1;2;4;1;2;0;1;0;0;15
13;0;2;4;1;1;2;1;4;1;1;1;0;16
13;0;2;1;1;4;4;0;4;1;1;0;0;16
8;0;0;4;1;4;4;1;2;1;1;1;0;16
12;0;0;2;1;2;5;0;4;1;1;0;0;15
11;0;0;4;1;4;2;0;4;1;1;1;0;15
9;0;2;3;0;4;2;0;1;1;0;0;3;19
0;1;1;2;1;4;3;0;2;1;1;0;2;18
18;1;2;0;1;0;5;1;4;1;1;0;0;16
0;1;2;2;1;0;2;0;4;0;1;1;2;15
0;0;2;3;1;4;3;0;1;1;1;1;0;15
12;0;2;4;1;4;4;0;2;1;1;1;0;17
11;0;2;2;1;4;1;0;4;1;1;0;0;16
0;1;2;3;1;0;3;0;4;1;0;1;0;15
0;0;2;2;1;3;3;0;4;0;1;1;0;15
0;1;2;3;1;4;5;0;4;1;0;0;0;17
0;0;2;4;1;4;2;0;3;1;1;1;2;16
12;0;2;2;1;4;4;0;1;1;0;1;1;16
15;0;2;0;1;0;2;0;4;1;1;0;0;15
0;0;2;0;1;2;2;0;3;0;1;0;0;15
9;0;1;2;1;2;3;0;2;1;1;0;2;16
11;0;2;0;1;2;2;1;4;0;1;0;0;15
13;0;2;3;1;3;4;0;1;1;1;0;0;16
0;0;0;4;1;4;5;0;1;1;1;0;3;17
11;0;2;4;1;2;2;1;1;1;1;0;0;15
0;0;0;1;1;2;2;0;2;1;1;0;3;15
11;0;2;3;1;4;2;1;2;1;1;0;0;15
0;0;2;0;0;0;2;0;4;1;1;1;0;16
10;0;2;2;1;4;5;0;1;1;1;0;3;15
0;0;2;4;0;4;5;0;1;1;1;1;3;18
14;0;2;3;1;4;4;0;1;1;0;1;1;16
10;1;1;2;1;2;1;1;3;0;1;1;2;15
0;0;0;2;0;3;4;0;2;1;1;1;3;19
12;0;2;4;1;0;1;0;4;1;0;1;0;17
8;1;2;3;1;2;4;1;3;1;0;0;0;15
13;1;1;4;1;4;2;0;2;1;0;0;0;17
10;1;2;3;1;4;5;0;1;1;0;0;3;18
15;1;2;3;1;4;2;0;2;1;0;0;0;16
12;0;2;4;1;2;5;1;3;1;1;1;1;16
0;1;2;3;0;4;2;0;1;1;1;1;2;17
7;1;2;4;1;4;4;0;2;1;1;1;2;15
0;0;2;4;1;4;4;0;2;1;0;0;1;16
10;0;2;3;0;2;3;0;3;1;1;0;0;17
7;1;2;4;0;2;5;0;1;1;0;1;3;17
12;0;2;2;0;2;2;0;2;1;0;0;1;16
10;0;2;4;0;4;5;0;2;1;1;0;0;16
16;0;0;1;1;2;3;1;2;1;1;1;0;16
0;0;0;4;1;4;5;1;2;1;1;0;0;16
14;0;1;1;1;1;2;1;4;1;1;1;0;16
0;0;2;4;1;4;5;0;4;1;1;0;2;16
16;0;1;4;1;4;2;1;4;1;1;1;0;16
10;0;1;0;1;4;4;1;4;1;1;0;0;17
0;0;0;3;1;2;5;0;3;1;1;1;3;16
9;0;1;4;1;4;5;1;3;1;1;0;0;16
9;0;2;0;1;4;4;1;3;1;1;0;0;17
11;0;1;2;1;4;4;1;2;1;1;0;0;16
6;0;1;4;1;4;4;0;3;1;1;0;0;17
9;1;3;0;1;2;3;0;2;1;1;1;0;16
11;0;2;4;1;4;3;0;3;1;1;1;0;17
8;0;0;0;1;4;3;1;3;1;1;0;0;16
12;0;0;2;1;4;3;1;3;1;1;1;0;16
17;0;1;2;1;2;2;0;4;1;0;0;0;17
8;0;1;4;1;4;3;0;3;1;1;1;0;17
12;0;1;4;1;4;2;1;2;1;1;0;0;16
11;0;3;2;1;2;4;0;3;1;1;1;0;17
11;0;3;2;1;2;3;1;2;1;1;1;0;16
15;0;2;4;1;4;3;1;1;1;1;1;0;16
9;0;1;1;1;4;3;0;3;1;1;1;0;17
10;1;0;3;1;4;3;0;2;1;0;0;0;17
13;0;2;2;1;2;3;0;3;1;1;0;0;16
9;0;2;3;1;2;3;0;1;1;1;0;0;17
8;0;3;3;1;2;4;1;2;1;1;0;0;17
10;1;1;2;1;2;2;0;3;1;1;0;0;16
14;0;0;4;1;4;3;0;3;1;1;0;0;16
15;0;2;2;1;2;2;0;4;1;1;1;0;17
16;0;0;2;1;0;3;0;4;1;1;0;0;17
10;1;0;0;1;4;4;1;3;1;1;0;0;16
18;0;0;2;1;0;4;0;4;1;1;0;1;17
10;0;1;0;1;0;2;1;4;1;1;0;0;16
16;0;0;1;1;4;5;0;3;1;1;0;0;16
10;0;1;4;1;4;3;1;3;1;0;0;0;16
10;0;2;4;1;4;4;1;1;1;0;0;0;17
6;1;1;4;1;4;2;0;2;1;1;0;0;17
11;1;1;2;1;2;5;1;2;0;1;0;0;16
9;0;0;3;1;2;3;1;4;0;1;1;1;17
7;0;2;2;1;4;3;1;1;1;1;0;3;16
13;0;3;0;1;4;2;1;3;1;1;1;0;16
10;0;0;3;1;4;2;1;1;1;0;0;0;16
7;1;1;0;1;4;2;1;3;0;1;1;0;17
8;0;1;4;1;4;3;1;3;0;1;0;0;19
13;0;0;2;1;4;5;1;4;1;1;1;0;17
14;0;1;4;1;4;4;1;2;1;1;0;0;16
8;0;0;2;1;4;4;1;2;1;1;0;1;18
10;1;3;2;1;4;1;1;4;1;0;0;0;17
15;0;1;4;1;4;4;1;2;1;1;0;0;17
4;0;1;4;1;4;5;1;3;1;1;1;2;17
8;0;0;2;1;1;4;1;3;1;1;0;1;18
8;0;0;3;1;4;3;1;3;1;0;0;0;17
10;0;2;3;1;3;3;1;2;0;1;0;0;17
6;1;1;3;1;2;5;0;1;1;1;0;0;17
0;0;1;3;1;4;4;0;1;0;0;1;1;17
17;0;3;2;1;0;1;0;3;1;1;0;0;16
13;0;0;4;1;4;3;1;2;1;1;0;0;18
14;0;0;0;1;2;2;0;4;0;1;0;0;16
7;1;1;4;1;4;3;0;1;1;1;1;1;18
15;0;2;4;1;4;4;0;2;1;1;0;0;17
12;0;1;2;1;2;3;1;3;1;1;0;0;17
9;0;2;3;1;4;2;1;1;1;1;1;0;18
12;0;2;4;1;4;3;0;1;0;1;1;0;17
14;0;1;1;1;4;3;0;3;1;1;1;0;17
11;1;2;4;1;4;2;1;2;1;1;0;0;17
9;0;1;0;1;0;5;0;4;1;1;1;0;17
13;0;1;1;1;4;4;1;4;1;1;0;0;16
6;0;0;4;1;4;2;1;1;1;1;0;0;16
10;0;1;3;1;4;3;0;2;0;1;1;0;16
13;0;0;4;1;4;2;1;2;1;1;1;0;17
12;0;0;4;1;4;2;0;1;1;1;1;0;16
11;1;2;3;1;2;1;0;1;1;0;0;0;17
0;0;1;4;0;2;4;0;2;1;1;0;1;18
12;0;2;1;1;4;5;0;3;1;1;1;0;17
12;1;2;0;1;4;3;1;4;1;1;0;0;17
0;0;2;0;1;4;5;0;3;1;1;0;0;16
12;0;2;2;1;2;2;0;4;1;1;0;0;16
0;0;2;4;1;4;4;1;1;0;1;1;0;18
18;0;2;4;1;4;3;0;1;1;1;0;0;16
13;0;2;4;1;4;2;0;3;1;1;0;0;17
8;0;3;2;0;2;5;0;1;1;1;1;3;19
5;1;2;4;1;2;3;0;3;1;1;1;1;18
15;0;3;4;1;4;2;1;2;1;1;0;0;16
8;0;2;2;0;4;5;0;2;1;1;0;1;18
10;0;1;3;1;4;3;0;3;1;1;0;0;16
8;0;3;2;0;2;5;0;1;1;1;0;1;18
8;1;2;4;1;4;2;0;1;1;0;0;0;16
12;1;2;4;1;4;2;0;1;1;1;0;0;17
8;0;2;1;1;4;4;0;1;1;1;0;1;17
13;0;1;0;1;2;3;1;2;0;1;0;0;17
11;0;1;2;1;3;1;0;3;1;1;0;0;19
14;0;0;4;1;4;4;0;1;1;1;0;0;18
0;0;2;2;1;2;1;1;2;0;1;1;0;17
18;0;0;2;1;4;2;1;3;1;1;1;0;18
8;0;2;0;1;4;2;1;3;1;1;0;0;18
12;1;2;4;1;4;2;0;2;0;0;0;0;18
9;0;0;4;1;4;3;0;3;0;0;0;0;17
0;0;0;3;1;2;3;1;2;0;1;1;0;18
17;1;1;4;1;4;5;1;4;1;1;0;0;18
10;0;3;2;1;4;4;1;1;1;1;1;0;17
11;1;1;0;1;4;4;1;4;1;1;0;0;18
10;0;1;1;1;4;5;1;2;1;1;1;0;18
0;1;1;4;0;4;5;0;1;1;1;1;0;18
9;0;0;4;1;2;5;1;3;1;1;0;2;19
14;0;1;4;1;2;5;1;3;0;1;1;0;18
11;0;0;4;1;4;3;1;1;1;0;0;0;18
14;1;0;3;1;3;2;1;2;1;0;1;0;17
10;0;1;3;1;1;3;1;4;1;1;1;0;17
12;0;2;2;1;4;4;1;2;1;1;1;0;17
9;1;0;4;0;2;1;0;2;1;1;1;0;18
9;0;0;0;1;2;4;1;4;1;1;0;0;18
8;0;1;1;1;1;4;0;4;1;1;1;1;18
10;0;2;0;1;2;3;1;3;1;1;0;0;18
8;0;0;2;1;4;4;1;1;1;1;1;0;17
10;0;0;0;1;2;4;0;2;1;1;0;1;17
12;1;1;3;1;4;2;1;1;0;0;0;0;18
10;0;0;4;1;4;4;0;1;1;1;0;0;18
11;0;2;4;1;4;5;0;2;1;1;0;0;17
11;0;1;4;1;4;3;1;1;1;1;0;0;17
19;0;3;3;1;3;3;1;2;0;1;0;0;18
12;0;1;2;1;0;3;1;1;0;1;0;0;17
14;0;1;2;1;2;4;1;1;0;1;0;0;18
15;0;1;0;1;0;3;1;4;1;1;0;0;18
11;0;0;0;1;4;2;1;2;1;1;1;0;18
15;0;1;1;1;2;2;1;3;0;1;0;0;17
13;0;1;2;1;3;3;0;1;1;1;1;1;18
18;1;1;2;1;4;2;1;1;0;0;0;0;17
14;1;1;2;1;4;2;1;2;0;1;0;0;18
11;0;0;1;1;4;3;1;3;1;1;0;0;17
0;0;1;1;1;4;4;1;4;1;1;0;0;19
8;0;0;4;1;4;5;1;3;1;1;1;0;18
14;0;1;4;1;4;3;1;3;0;1;0;0;18
16;0;0;0;1;0;2;1;4;1;1;1;0;18
11;0;0;1;1;4;4;0;4;1;1;1;0;18
10;0;0;4;1;0;1;1;4;1;1;0;0;17
14;0;1;4;1;4;3;1;2;0;1;0;0;17
18;0;1;1;1;1;2;1;2;0;1;0;0;17
13;0;0;4;1;4;4;0;3;1;1;1;1;19
12;0;1;2;1;3;3;1;4;1;1;0;1;18
18;0;2;2;1;4;3;0;2;1;0;0;0;19
8;0;1;0;1;2;4;1;4;1;1;1;1;19
12;1;1;4;1;2;3;0;3;1;0;1;1;19
10;0;1;3;1;4;3;0;1;1;1;0;1;19
0;0;0;2;1;2;4;0;2;1;0;1;1;19
13;0;3;3;0;4;1;0;1;1;1;1;0;19
11;0;2;4;1;2;2;0;2;1;1;0;1;19
11;0;1;2;1;4;2;1;2;1;1;1;1;19
13;0;0;3;1;1;2;0;1;0;1;1;2;19
11;1;1;4;1;4;2;0;3;0;1;1;1;19
0;0;2;2;1;4;3;1;1;1;1;0;0;18
9;0;2;4;1;4;4;1;3;0;1;1;0;18
10;1;2;3;1;2;4;1;4;0;1;0;0;17
11;0;2;0;1;4;4;1;4;1;1;0;0;18
13;0;2;2;1;2;2;1;3;1;1;1;0;17
9;0;2;4;1;4;2;0;2;1;0;1;0;17
11;1;2;2;1;2;2;1;2;0;1;0;0;17
15;0;2;2;1;2;3;0;1;0;1;0;0;17
15;0;0;3;1;3;3;0;2;0;1;0;0;17
11;0;2;4;1;4;3;0;4;0;1;0;0;18
16;0;1;4;1;2;5;0;3;1;1;0;0;17
10;1;2;2;1;4;5;0;2;1;1;0;0;17
9;0;2;0;1;2;4;1;4;0;1;0;0;17
14;0;2;0;1;0;3;1;4;0;1;1;0;17
8;0;2;4;1;4;5;0;2;0;1;0;0;18
14;1;2;3;1;4;3;0;4;0;1;1;0;17
0;0;0;2;1;2;4;0;3;1;1;0;0;18
0;0;0;4;1;4;3;0;2;1;1;1;0;18
0;1;2;3;1;4;4;0;2;0;0;0;0;18
15;0;2;2;1;4;5;0;4;0;1;0;0;17
13;1;0;2;1;3;3;1;1;0;0;0;1;19
0;0;0;4;1;4;2;1;2;1;1;1;0;17
17;0;0;2;1;2;3;0;3;0;1;0;0;18
10;1;0;4;1;4;3;1;2;1;1;0;0;17
11;0;0;2;1;2;4;1;1;0;1;1;1;19
0;0;0;0;1;2;3;0;4;1;1;0;1;18
15;0;0;2;1;4;3;0;4;1;1;1;0;18
0;0;0;3;1;3;1;0;2;1;1;1;1;17
10;0;2;3;1;4;3;0;3;0;1;0;0;18
14;0;3;4;1;2;3;0;2;0;1;1;0;18
16;1;2;0;1;2;2;0;3;0;1;1;0;18
9;0;2;0;1;4;5;1;3;0;1;1;0;18
15;0;1;1;1;4;3;1;3;0;1;1;0;17
13;1;2;4;1;4;5;0;2;1;1;0;1;18
8;1;0;4;1;2;4;0;1;1;1;0;3;19
13;0;2;1;1;4;4;1;3;1;1;0;0;17
8;0;2;3;0;2;3;0;3;1;1;1;1;18
8;1;0;4;1;4;4;0;1;1;1;0;1;19
11;1;0;2;1;4;5;1;3;1;1;1;0;17
9;0;2;2;1;2;4;0;3;1;0;1;0;18
13;1;3;0;1;2;3;1;4;1;1;0;0;17
11;0;1;2;1;4;3;0;2;1;0;1;0;17
10;0;0;4;1;2;2;0;1;1;1;1;0;18
16;0;2;3;1;2;2;0;1;0;1;0;0;18
13;1;2;3;1;4;4;0;4;1;0;1;0;18
12;1;3;3;0;4;3;0;1;1;0;0;1;18
10;0;3;2;1;2;2;0;3;1;1;1;0;18
15;0;2;3;1;3;4;1;4;1;1;1;0;17
12;1;2;4;1;2;2;0;2;1;0;0;0;17
10;1;2;3;1;4;4;1;3;1;0;0;0;18
13;0;3;0;1;2;2;1;4;0;1;1;0;18
0;1;1;4;1;2;1;1;1;1;1;1;1;17
10;0;2;3;1;2;3;1;3;1;1;1;0;18
11;1;3;4;1;0;2;1;4;1;1;1;0;18
9;0;0;2;1;2;2;0;2;1;0;1;2;19
12;1;3;3;0;2;3;1;2;1;1;1;0;18
11;0;0;4;1;3;3;0;2;0;0;1;0;17
5;1;2;4;1;4;5;0;2;1;1;0;0;17
19;1;1;4;1;4;4;0;4;0;1;0;0;18
10;1;0;4;1;4;2;0;1;0;1;0;0;18
15;0;2;1;1;4;3;1;2;0;1;1;2;19
10;1;2;0;1;2;3;1;4;1;1;0;0;18
15;0;0;4;1;4;3;1;3;1;1;1;0;18
10;1;1;3;1;4;4;1;1;1;1;0;0;17
14;0;0;0;1;0;4;1;4;1;1;0;0;18
7;1;3;4;1;4;3;0;1;1;1;1;0;18
10;0;0;4;1;2;3;0;3;1;1;0;0;17
0;1;3;4;1;2;2;0;1;1;0;0;1;19
5;1;0;4;1;4;3;1;2;1;0;0;1;18
10;1;3;3;1;4;3;1;2;0;0;0;0;18
6;1;1;0;1;3;3;1;4;1;1;1;0;18
0;1;2;2;1;4;2;0;3;0;1;0;1;19
8;0;2;0;1;2;4;1;1;1;1;0;0;18
0;0;2;4;1;4;1;0;1;1;0;0;1;18
9;0;2;2;1;2;4;1;2;1;0;0;2;19
16;0;2;2;1;2;5;0;1;1;1;0;0;17
7;1;2;4;1;4;3;0;1;1;0;0;3;19
10;1;2;2;1;4;1;0;2;1;1;0;0;18
9;0;2;4;1;3;3;0;1;1;1;0;0;19
